GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,HOME_TEAM_WINS,HOME_ORTG,AWAY_ORTG,HOME_DRTG,AWAY_DRTG,HOME_SRS,AWAY_SRS,HOME_EFG,AWAY_EFG,HOME_TS,AWAY_TS,MOV
2021-11-11,22100173,Los Angeles Clippers,Miami Heat,2021,112,109,1,106.3,111.4,105.4,108.0,0.5,3.29,0.52,0.53,0.553,0.567,3.0
2021-11-10,22100158,Cleveland Cavaliers,Washington Wizards,2021,94,97,0,107.8,108.0,105.0,108.2,3.45,-0.24,0.523,0.521,0.557,0.556,-3.0
2021-11-10,22100159,Orlando Magic,Brooklyn Nets,2021,90,123,0,101.4,110.2,111.4,106.5,-9.08,3.44,0.489,0.536,0.521,0.574,-33.0
2021-11-10,22100160,Boston Celtics,Toronto Raptors,2021,104,88,1,109.6,109.4,107.2,110.3,1.9,-0.09,0.512,0.497,0.553,0.529,16.0
2021-11-10,22100161,New York Knicks,Milwaukee Bucks,2021,100,112,0,109.2,110.7,110.0,106.6,-0.9,3.06,0.517,0.533,0.551,0.562,-12.0
2021-11-10,22100162,Houston Rockets,Detroit Pistons,2021,104,112,0,101.9,100.5,109.2,110.3,-8.62,-8.55,0.512,0.47,0.542,0.512,-8.0
2021-11-10,22100163,Chicago Bulls,Dallas Mavericks,2021,117,107,1,111.1,107.7,106.6,109.4,3.88,-1.62,0.533,0.516,0.571,0.543,10.0
2021-11-10,22100164,Memphis Grizzlies,Charlotte Hornets,2021,108,118,0,111.4,112.0,111.9,112.5,-0.23,0.17,0.518,0.533,0.547,0.561,-10.0
2021-11-10,22100165,New Orleans Pelicans,Oklahoma City Thunder,2021,100,108,0,106.0,99.6,112.8,109.8,-5.4,-9.83,0.491,0.472,0.53,0.505,-8.0
2021-11-10,22100166,San Antonio Spurs,Sacramento Kings,2021,136,117,1,107.1,108.3,107.1,111.3,-0.48,-2.53,0.522,0.513,0.542,0.548,19.0
2021-11-10,22100167,Denver Nuggets,Indiana Pacers,2021,101,98,1,108.8,108.7,108.6,108.0,0.97,1.05,0.536,0.522,0.56,0.551,3.0
2021-11-10,22100168,Phoenix Suns,Portland Trail Blazers,2021,119,109,1,111.2,111.7,104.7,114.0,6.13,-1.28,0.544,0.53,0.576,0.563,10.0
2021-11-10,22100169,Golden State Warriors,Minnesota Timberwolves,2021,123,110,1,113.2,107.6,100.9,106.7,11.35,0.49,0.562,0.503,0.59,0.536,13.0
2021-11-10,22100170,Los Angeles Lakers,Miami Heat,2021,120,117,1,107.1,111.4,108.8,108.0,-2.84,3.29,0.528,0.53,0.557,0.567,3.0
2021-11-09,22100155,Philadelphia 76ers,Milwaukee Bucks,2021,109,118,0,110.1,110.7,109.0,106.6,0.81,3.06,0.522,0.533,0.559,0.562,-9.0
2021-11-09,22100156,Utah Jazz,Atlanta Hawks,2021,110,98,1,116.5,113.2,106.8,110.7,8.04,2.98,0.567,0.531,0.6,0.564,12.0
2021-11-09,22100157,Los Angeles Clippers,Portland Trail Blazers,2021,117,109,1,106.3,111.7,105.4,114.0,0.5,-1.28,0.52,0.53,0.553,0.563,8.0
2021-11-08,22100147,Philadelphia 76ers,New York Knicks,2021,96,103,0,110.1,109.2,109.0,110.0,0.81,-0.9,0.522,0.517,0.559,0.551,-7.0
2021-11-08,22100148,Chicago Bulls,Brooklyn Nets,2021,118,95,1,111.1,110.2,106.6,106.5,3.88,3.44,0.533,0.536,0.571,0.574,23.0
2021-11-08,22100149,Memphis Grizzlies,Minnesota Timberwolves,2021,125,118,1,111.4,107.6,111.9,106.7,-0.23,0.49,0.518,0.503,0.547,0.536,7.0
2021-11-08,22100150,Dallas Mavericks,New Orleans Pelicans,2021,108,92,1,107.7,106.0,109.4,112.8,-1.62,-5.4,0.516,0.491,0.543,0.53,16.0
2021-11-08,22100151,Denver Nuggets,Miami Heat,2021,113,96,1,108.8,111.4,108.6,108.0,0.97,3.29,0.536,0.53,0.56,0.567,17.0
2021-11-08,22100152,Golden State Warriors,Atlanta Hawks,2021,127,113,1,113.2,113.2,100.9,110.7,11.35,2.98,0.562,0.531,0.59,0.564,14.0
2021-11-08,22100153,Sacramento Kings,Phoenix Suns,2021,104,109,0,108.3,111.2,111.3,104.7,-2.53,6.13,0.513,0.544,0.548,0.576,-5.0
2021-11-08,22100154,Los Angeles Lakers,Charlotte Hornets,2021,126,123,1,107.1,112.0,108.8,112.5,-2.84,0.17,0.528,0.533,0.557,0.561,3.0
2021-11-07,22100139,Toronto Raptors,Brooklyn Nets,2021,103,116,0,109.4,110.2,110.3,106.5,-0.09,3.44,0.497,0.536,0.529,0.574,-13.0
2021-11-07,22100140,New York Knicks,Cleveland Cavaliers,2021,109,126,0,109.2,107.8,110.0,105.0,-0.9,3.45,0.517,0.523,0.551,0.557,-17.0
2021-11-07,22100141,Orlando Magic,Utah Jazz,2021,107,100,1,101.4,116.5,111.4,106.8,-9.08,8.04,0.489,0.567,0.521,0.6,7.0
2021-11-07,22100142,Washington Wizards,Milwaukee Bucks,2021,101,94,1,108.0,110.7,108.2,106.6,-0.24,3.06,0.521,0.533,0.556,0.562,7.0
2021-11-07,22100143,Sacramento Kings,Indiana Pacers,2021,91,94,0,108.3,108.7,111.3,108.0,-2.53,1.05,0.513,0.522,0.548,0.551,-3.0
2021-11-07,22100144,Oklahoma City Thunder,San Antonio Spurs,2021,99,94,1,99.6,107.1,109.8,107.1,-9.83,-0.48,0.472,0.522,0.505,0.542,5.0
2021-11-07,22100145,Golden State Warriors,Houston Rockets,2021,120,107,1,113.2,101.9,100.9,109.2,11.35,-8.62,0.562,0.512,0.59,0.542,13.0
2021-11-07,22100146,Los Angeles Clippers,Charlotte Hornets,2021,120,106,1,106.3,112.0,105.4,112.5,0.5,0.17,0.52,0.533,0.553,0.561,14.0
2021-11-06,22100133,Denver Nuggets,Houston Rockets,2021,95,94,1,108.8,101.9,108.6,109.2,0.97,-8.62,0.536,0.512,0.56,0.542,1.0
2021-11-06,22100134,Miami Heat,Utah Jazz,2021,118,115,1,111.4,116.5,108.0,106.8,3.29,8.04,0.53,0.567,0.567,0.6,3.0
2021-11-06,22100135,Chicago Bulls,Philadelphia 76ers,2021,105,114,0,111.1,110.1,106.6,109.0,3.88,0.81,0.533,0.522,0.571,0.559,-9.0
2021-11-06,22100136,Dallas Mavericks,Boston Celtics,2021,107,104,1,107.7,109.6,109.4,107.2,-1.62,1.9,0.516,0.512,0.543,0.553,3.0
2021-11-06,22100137,Phoenix Suns,Atlanta Hawks,2021,121,117,1,111.2,113.2,104.7,110.7,6.13,2.98,0.544,0.531,0.576,0.564,4.0
2021-11-06,22100138,Portland Trail Blazers,Los Angeles Lakers,2021,105,90,1,111.7,107.1,114.0,108.8,-1.28,-2.84,0.53,0.528,0.563,0.557,15.0
2021-11-05,22100124,Detroit Pistons,Brooklyn Nets,2021,90,96,0,100.5,110.2,110.3,106.5,-8.55,3.44,0.47,0.536,0.512,0.574,-6.0
2021-11-05,22100125,Orlando Magic,San Antonio Spurs,2021,89,102,0,101.4,107.1,111.4,107.1,-9.08,-0.48,0.489,0.522,0.521,0.542,-13.0
2021-11-05,22100126,Washington Wizards,Memphis Grizzlies,2021,115,87,1,108.0,111.4,108.2,111.9,-0.24,-0.23,0.521,0.518,0.556,0.547,28.0
2021-11-05,22100127,Toronto Raptors,Cleveland Cavaliers,2021,101,102,0,109.4,107.8,110.3,105.0,-0.09,3.45,0.497,0.523,0.529,0.557,-1.0
2021-11-05,22100128,Milwaukee Bucks,New York Knicks,2021,98,113,0,110.7,109.2,106.6,110.0,3.06,-0.9,0.533,0.517,0.562,0.551,-15.0
2021-11-05,22100129,Minnesota Timberwolves,Los Angeles Clippers,2021,84,104,0,107.6,106.3,106.7,105.4,0.49,0.5,0.503,0.52,0.536,0.553,-20.0
2021-11-05,22100130,Golden State Warriors,New Orleans Pelicans,2021,126,85,1,113.2,106.0,100.9,112.8,11.35,-5.4,0.562,0.491,0.59,0.53,41.0
2021-11-05,22100131,Portland Trail Blazers,Indiana Pacers,2021,110,106,1,111.7,108.7,114.0,108.0,-1.28,1.05,0.53,0.522,0.563,0.551,4.0
2021-11-05,22100132,Sacramento Kings,Charlotte Hornets,2021,140,110,1,108.3,112.0,111.3,112.5,-2.53,0.17,0.513,0.533,0.548,0.561,30.0
2021-11-04,22100119,Detroit Pistons,Philadelphia 76ers,2021,98,109,0,100.5,110.1,110.3,109.0,-8.55,0.81,0.47,0.522,0.512,0.559,-11.0
2021-11-04,22100120,Atlanta Hawks,Utah Jazz,2021,98,116,0,113.2,116.5,110.7,106.8,2.98,8.04,0.531,0.567,0.564,0.6,-18.0
2021-11-04,22100121,Miami Heat,Boston Celtics,2021,78,95,0,111.4,109.6,108.0,107.2,3.29,1.9,0.53,0.512,0.567,0.553,-17.0
2021-11-04,22100122,Phoenix Suns,Houston Rockets,2021,123,111,1,111.2,101.9,104.7,109.2,6.13,-8.62,0.544,0.512,0.576,0.542,12.0
2021-11-04,22100123,Los Angeles Lakers,Oklahoma City Thunder,2021,104,107,0,107.1,99.6,108.8,109.8,-2.84,-9.83,0.528,0.472,0.557,0.505,-3.0
2021-11-03,22100108,Cleveland Cavaliers,Portland Trail Blazers,2021,107,104,1,107.8,111.7,105.0,114.0,3.45,-1.28,0.523,0.53,0.557,0.563,3.0
2021-11-03,22100109,Indiana Pacers,New York Knicks,2021,111,98,1,108.7,109.2,108.0,110.0,1.05,-0.9,0.522,0.517,0.551,0.551,13.0
2021-11-03,22100110,Orlando Magic,Boston Celtics,2021,79,92,0,101.4,109.6,111.4,107.2,-9.08,1.9,0.489,0.512,0.521,0.553,-13.0
2021-11-03,22100111,Philadelphia 76ers,Chicago Bulls,2021,103,98,1,110.1,111.1,109.0,106.6,0.81,3.88,0.522,0.533,0.559,0.571,5.0
2021-11-03,22100112,Washington Wizards,Toronto Raptors,2021,100,109,0,108.0,109.4,108.2,110.3,-0.24,-0.09,0.521,0.497,0.556,0.529,-9.0
2021-11-03,22100113,Brooklyn Nets,Atlanta Hawks,2021,117,108,1,110.2,113.2,106.5,110.7,3.44,2.98,0.536,0.531,0.574,0.564,9.0
2021-11-03,22100114,Memphis Grizzlies,Denver Nuggets,2021,108,106,1,111.4,108.8,111.9,108.6,-0.23,0.97,0.518,0.536,0.547,0.56,2.0
2021-11-03,22100115,Minnesota Timberwolves,Los Angeles Clippers,2021,115,126,0,107.6,106.3,106.7,105.4,0.49,0.5,0.503,0.52,0.536,0.553,-11.0
2021-11-03,22100116,San Antonio Spurs,Dallas Mavericks,2021,108,109,0,107.1,107.7,107.1,109.4,-0.48,-1.62,0.522,0.516,0.542,0.543,-1.0
2021-11-03,22100117,Golden State Warriors,Charlotte Hornets,2021,114,92,1,113.2,112.0,100.9,112.5,11.35,0.17,0.562,0.533,0.59,0.561,22.0
